,avg_salary,avg_salary_female,avg_salary_male,log_gender_gap,population_total,population_30_44,population_female,population_cs3,latitude,longitude,vote_macron_share,Chomage,ChomageJeunes,ChomageLong,EvoluEmploiCree,Activite,EmploiFeminin,EmploiCommune,DefaillEntreprise,SalaireAnnuel,Criminalite,EvolutionCrimes,SecuriteRoutiere,Inondations,TerrainsPollues,UsinesRisques,MortaliteInfantile,MortaliteCancerPoumon,MortaliteAlcool,DecesInfarctus,TauxSuicide,MortaliteGlobale,TailleClassesPrimaires,Retard6eme,Retard3eme,RetardTerminale,MetreCarreAncien,TaxeHabitation,FoncierBati,MetreCubeEau,Proprietaires,LogtSup4pieces,LogtInsalubre,LogtVacant,LogtConstruction,Mer,Ski,Soleil,Pluie,Temperature,MarcheAPied,Musees,Cinema,MonumHistoriques,PretLivres,RestaurDistingues,Presse,Etudiants,ImpotRevenu,ImpotFortune,Imposables,EvolDemographique,Vieillissement,AttiranceGlobale,AttiranceActifs
count,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0,5263.0
mean,14.8207,13.19,15.9838,0.1844,9479.4898,1782.8321,4934.0633,837.4246,46.9871,2.427,55.7488,0.3452,0.1618,0.5554,0.043,0.4402,0.4725,0.5753,0.157,18293.8291,88.2811,0.0489,3.073,6.1319,3.2833,0.7232,5.4622,42.912,43.7187,73.9486,21.267,834.8849,22.8888,0.0436,0.1014,0.2066,1031.561,18.5516,24.9483,2.6539,0.4033,0.4977,0.014,0.0827,0.0064,1.8559,1.2784,1972.0439,109.0015,11.4961,0.1243,2.1712,3.7296,12.8041,4.5735,0.5813,20.6369,0.0576,1304.9465,0.0076,50.6158,0.0032,0.4017,0.2994,0.3491
std,2.8276,2.087,3.4725,0.0701,37713.6181,7987.3093,19902.1427,8162.6932,2.2297,2.9536,11.2742,0.4999,0.0166,0.0269,0.0163,0.0178,0.0158,0.065,0.0263,1858.3115,8.7004,0.0373,1.137,1.4398,1.8817,0.5259,0.7347,5.0436,11.6017,10.9633,2.6405,66.845,0.7854,0.0087,0.0128,0.0138,327.6151,2.3865,3.6039,0.235,0.0447,0.0478,0.0064,0.0133,0.0024,0.5001,0.2781,312.9557,17.4606,1.469,0.0164,1.1663,0.5599,7.5607,0.8253,1.0708,1.8055,0.0299,497.1812,0.0056,4.3304,0.0231,0.1062,0.0394,0.0415
min,10.6786,10.1619,10.6461,-0.1507,1924.0,144.3008,842.1441,10.0,41.4351,-4.7844,23.26,0.069,0.078,0.43,-0.21,0.38,0.38,0.2,0.03,16564.0,50.0,-0.191,0.2,1.0,0.0,0.0,0.8,22.9,12.9,43.8,12.2,561.3,19.9,0.008,0.042,0.058,570.0,3.94,1.92,1.73,0.22,0.21,0.002,0.05,0.0,1.0,1.0,1440.0,56.5,9.0,0.07,0.0,0.2,0.0,1.0,0.0,9.0,0.01,758.0,0.001,38.0,-0.103,0.07,0.15,0.19
25%,13.0441,11.8605,13.8286,0.1392,2726.0,485.3356,1389.5091,126.3843,45.2319,0.1726,47.6,0.1607,0.1517,0.5355,0.0353,0.4309,0.4595,0.5499,0.1397,17512.0042,82.3229,0.0265,2.1698,5.2665,1.9333,0.2919,4.9114,39.0638,33.12,65.9294,19.6581,785.3051,22.4456,0.0369,0.094,0.1986,842.9775,16.9327,22.6479,2.488,0.3706,0.4631,0.0089,0.0739,0.0042,1.449,1.0,1731.3337,102.4415,10.1925,0.1136,1.6985,3.3721,9.6652,4.1294,0.2661,19.3627,0.04,1122.5792,0.0056,47.734,-0.0157,0.3115,0.2666,0.3151
50%,14.0729,12.6053,15.0978,0.1778,4060.0,729.5855,2093.6049,237.5275,47.4308,2.5045,56.02,0.1765,0.1625,0.557,0.045,0.4403,0.4707,0.5852,0.1533,17936.8995,87.0549,0.0484,2.8548,5.9104,2.6012,0.6451,5.5216,42.2307,43.4634,70.187,20.5478,813.2165,22.8916,0.0423,0.1014,0.2056,956.5706,18.1225,25.5875,2.6423,0.4011,0.5042,0.0113,0.0821,0.0064,1.8573,1.1758,1886.0313,116.4647,11.197,0.1275,2.0308,3.6196,11.9621,4.528,0.5625,20.4886,0.0549,1221.2734,0.0064,50.447,0.0035,0.3672,0.2967,0.3469
75%,15.6738,13.8525,17.0228,0.2201,7597.5,1348.0541,3938.1967,498.8175,48.7874,4.8187,63.935,0.2033,0.1704,0.5769,0.0537,0.4494,0.4829,0.618,0.1777,18382.8556,92.8278,0.0649,3.9045,6.837,4.3272,1.1091,6.0104,47.071,52.6195,81.4139,22.4367,888.5939,23.284,0.0496,0.1091,0.2149,1092.0066,20.1121,27.435,2.8083,0.4427,0.536,0.0174,0.0926,0.0085,2.1628,1.4531,2132.2232,120.5689,12.4499,0.1353,2.4662,4.0786,15.0832,5.1548,0.8357,21.8478,0.0703,1309.1661,0.008,52.5564,0.0166,0.5052,0.3233,0.3749
max,47.1506,31.8717,58.288,1.1173,2165423.0,475117.9223,1146471.2133,558207.3066,51.073,9.5163,85.1,11.3,0.261,0.63,0.23,0.53,0.57,0.8,0.28,49586.0,170.2,0.444,9.2,19.0,28.0,7.0,11.6,63.9,92.8,111.0,47.1,1104.4,27.4,0.107,0.206,0.322,5031.0,33.55,42.42,4.97,0.56,0.69,0.055,0.17,0.022,3.0,2.0,2899.0,155.3,15.9,0.22,68.0,10.0,416.0,12.1,73.0,32.8,0.46,14217.0,0.169,81.0,0.134,1.08,0.45,0.51
